real_name,username,gig,reviews_count,start_price
Joel Young,djyoung,I Will Record A Radio Quality Professional Male Voiceover,2396,28.05
Joel Young,djyoung,I Will Create A Whiteboard Video Animation,1066,327.21
Joel Young,djyoung,I Will Record A Professional Voicemail Or Phone Greeting,331,28.05
Joel Young,djyoung,I will create a modern animation video in HD,170,327.21
Joel Young,djyoung,I Will Create A 2d Animated Explainer Video,117,327.21
Joel Young,djyoung,I Will Accept Your Tip And Say Thanks,106,4.67
Charmaine Pocek,boomsa,"I Will Create An Entry Level Resume, Cv, Cover Letter, Or Linkedin",12134,42.07
Charmaine Pocek,boomsa,"I Will Upgrade A Resume, Cv, Cover Letter, Or Linkedin",1737,140.23
Charmaine Pocek,boomsa,I Will Create A Cover Letter To Ensure An Interview,945,42.07
Charmaine Pocek,boomsa,"I Will Write Your Director, Vp, Executive Level Resume",186,369.28
Charmaine Pocek,boomsa,I Will Optimize Your Entire Linkedin Profile,135,18.70
Charmaine Pocek,boomsa,I Will Write Thank You Note To Send To Post Interview,118,9.35
Charmaine Pocek,boomsa,I Will Create A Customized Reference Sheet,70,9.35
Charmaine Pocek,boomsa,I Will Provide The Perfect Introduction For Linkedin Or Email,14,18.70
Charmaine Pocek,boomsa,I Will Write A Professional Salary Negotiation Letter,8,28.05
Charmaine Pocek,boomsa,I Will Send You 30 Tips On How To Negotiate Salary,4,9.35
Levi Newman,levinewman,I Will Write A Professional Amazon Product Listing Description Page,2714,70.12
Levi Newman,levinewman,"I Will Create Unique Sales, Ad, And Website Copywriting",1721,51.42
Redd Horrocks,reddhorrocks,"I Will Record A Quality Voiceover, British Or American Female Accent",21450,9.35
Redd Horrocks,reddhorrocks,I Will Record A Voicemail In A Female British Or American Accent,3718,9.35
Redd Horrocks,reddhorrocks,"I Will Record A Professional Voiceover, You Directing, British Or American",13,140.23
Redd Horrocks,reddhorrocks,I Will Mix Royalty Free Music Into Your Existing Audio File,8,14.02
David Feldman,david_ff,I Will Solve All Of Your Copywriting Needs,1587,4.67
David Feldman,david_ff,I Will Write Amazing SEO Blog Posts And Articles,478,37.40
David Feldman,david_ff,I Will Write An Awesome Bio Or About Us Page,102,18.70
David Feldman,david_ff,I Will Email Campaigns That Convert,38,88.81
David Feldman,david_ff,I Will Write Shopify Product Descriptions That Sell,31,9.35
David Feldman,david_ff,I Will Write Amazing Amazon Product Descriptions,2,42.07
Alex Fasulo,faswaldo,I Will Write For Your Blog,2,93.49
Alex Fasulo,faswaldo,I Will Write Content For Your Website,381,93.49
Alex Fasulo,faswaldo,I Will Write A Press Release,171,93.49
Alex Fasulo,faswaldo,I Will Write Your Bio Or About Me,64,93.49
Alex Fasulo,faswaldo,I Will Write A Persuasive Amazon Product Listing,45,140.23
Alex Fasulo,faswaldo,I Will Write Catchy Product Descriptions,24,93.49
Alex Fasulo,faswaldo,I Will Edit Your Website Copy,26,93.49
Alex Fasulo,faswaldo,I Will Write Your Crowdfunding Pitch,18,116.86
Alex Fasulo,faswaldo,I Will Write Your App Description,11,93.49
Alex Fasulo,faswaldo,I Will Professionally Edit And Proofread Your Document,358,32.72
